mgrtomsa:confidence,id,msa,cleanedtweet,cleanedtweet2
0.6743,1,حرروا المقر الاصلي لمصرف  الوحدة السوق ميدان الشجرة يمكن عجز السيولة,حررو المقر الاصلي لمصرف الوحدة السوق ميدان الشجرة زعما انطق في السيولة هكي و ايسير منها,حررو المقر الاصلي لمصرف الوحدة السوق ميدان الشجرة زعما انطق في السيولة هكي و ايسير منها
1.0,2,الان صباحكم مفتاح ولن اقول اكثر من هذا,الان صباحكم مفتاح شقلوف ومعاش بنقول أكثر من هكي,الان صباحكم مفتاح شقلوف ومعاش بنقول أكثر من هكي
0.684,20,سلمى إن هذا في مرة من المرات  يتجمعون و فجأة تقع مشكلة هكذا,سَلمْىٰ ههههههههه تي هذا مرا من المرات ياتامو ومشكلا فجأه هكي,سلمىٰ تي هذا مرا من المرات ياتامو ومشكلا فجأه هكي
1.0,22,هكذا اذا يا جيجي الان سأريك,هههههه صار هكي يا جيجي توا نوريك,صار هكي يا جيجي توا نوريك
0.6829,27,حتى انا كنت  اظنها في بادئ الامر هكذا,حتى انا في الاول هكي نحساب ههههه,حتى انا في الاول هكي نحساب
1.0,29,الله هو الغالب الله هكذا مقدرها و ربي يفرج حالنا,الله غالب الله هكي كاتب وربي يفرج الحال,الله غالب الله هكي كاتب وربي يفرج الحال
1.0,29,هكذا قدر الله عسى أن تفرج,الله غالب الله هكي كاتب وربي يفرج الحال,الله غالب الله هكي كاتب وربي يفرج الحال
1.0,29,لابأس هذا ما كتبه الله  ولله هو مفرج الأحوال,الله غالب الله هكي كاتب وربي يفرج الحال,الله غالب الله هكي كاتب وربي يفرج الحال
1.0,30,زيد على أساس أنه أنه يوجد أسوأ من هذا,زيد ع اساس فيه اسوء من هكي,زيد ع اساس فيه اسوء من هكي
0.6552,32,اذا كان وضعك  هكذا الان ريتويت,لو وضعك هكي توآ ريتويت,لو وضعك هكي توآ ريتويت
1.0,38,و اذا تجاهلها و اذا قلتي خذي لنفسك سوف تدخلين في دائرة الشك اللهم اني صائم فقط,ولو تجاهلها لو قلت هكي لنفسك حتدخل في دائرة الشك اللهم إني صايم وبس,ولو تجاهلها لو قلت هكي لنفسك حتدخل في دائرة الشك اللهم إني صايم وبس
0.6693,47,قال لها انكي تخرجي من البنات التي يقلن يا طيري قال له كأنه حكي معقول انا هكذا,قاللها راكي تطلعي من البنات إللي يقولن يا طيري قالتله كنك حكية معقوله انا هكي,قاللها راكي تطلعي من البنات إللي يقولن يا طيري قالتله كنك حكية معقوله انا هكي
1.0,48,اللهم نسألك الحفظ و التوفيق لأن جديات العقل لن يقدر يستوعب ويتحمل أكثر من هذا,اللهُم نسألك الحِفظ والتوفيق لأن جديّات العقل معَش يقدر يستوعب ويتحمل أكثر من هكي,اللهم نسألك الحفظ والتوفيق لأن جديات العقل معش يقدر يستوعب ويتحمل أكثر من هكي
1.0,48,اللهُم نسألك الحِفظ والتوفيق لأن  العقل لا يقدران  يستوعب ويتحمل أكثر من هذا,اللهُم نسألك الحِفظ والتوفيق لأن جديّات العقل معَش يقدر يستوعب ويتحمل أكثر من هكي,اللهم نسألك الحفظ والتوفيق لأن جديات العقل معش يقدر يستوعب ويتحمل أكثر من هكي
