id,msa_verified,tweet,cleanedtweet2
2,ساعة ونصف وتنتهي السنة يلعن ربكم ما رأيكم أن تمر هكذا؟,ساعة و نص و بتخلص السنة يلعن ربكم 😂😂😂😂😂 شو فكركن تقطع هيك 😝😝,ساعة و نص و بتخلص السنة يلعن ربكم شو فكركن تقطع هيك
27,لقد بدأت السنة بداية جيدة بقصة الواتساب تابعي هكذا أختاه,السنة مبلشة منيح بقصة الواتساب  منيح كملي هيك أختاه,السنة مبلشة منيح بقصة الواتساب منيح كملي هيك أختاه
28,إنه يستحق ذلك كيف يمكنه أن يفعل هذا معك,@MaryYounes @akobeissy 😂😂😂خرجو بيستاهل كيف بيعمل هيك معك😂😂😂,خرجو بيستاهل كيف بيعمل هيك معك
35,أقول لك شكرا لأنك عرفتني على أصدقاء مهضومين كهؤلاء,#بقول_ل_2015 شكراً لأنك عرفتيني ع هيك أصدقاء مهضومين❤  @AnnaMariaElNar @Fullakabha @HaroutigK @Fattouma_Kh @GhadeerKaram @MarwaElMarouk ❤❤❤,بقول ل شكرا لأنك عرفتيني ع هيك أصدقاء مهضومين
35,أقول لك شكرا لأنك عرفتني على هؤلاء الأصدقاء اللطيفين,#بقول_ل_2015 شكراً لأنك عرفتيني ع هيك أصدقاء مهضومين❤  @AnnaMariaElNar @Fullakabha @HaroutigK @Fattouma_Kh @GhadeerKaram @MarwaElMarouk ❤❤❤,بقول ل شكرا لأنك عرفتيني ع هيك أصدقاء مهضومين
35,أقول لك شكرا لأنك عرفتني على أصدقاء ظريفين هكذا,#بقول_ل_2015 شكراً لأنك عرفتيني ع هيك أصدقاء مهضومين❤  @AnnaMariaElNar @Fullakabha @HaroutigK @Fattouma_Kh @GhadeerKaram @MarwaElMarouk ❤❤❤,بقول ل شكرا لأنك عرفتيني ع هيك أصدقاء مهضومين
51,جميل هكذا تحمسنا قليلا كل عام وأنت بخير,@fadi_altawil  حلو .. هيك تحمسنا شوي 😃 كل عام وانت بخير,حلو هيك تحمسنا شوي كل عام وانت بخير
54,أنهيت كتابين وبقي كتاب لذلك أنا متكاسلة,@Ahmaki_1998  ختمت كتابين ضل كتاب 😂😂😂😂  مشان هييك شوي متكاسلة 😂😂,ختمت كتابين ضل كتاب مشان هييك شوي متكاسلة
54,أنهيت كتابين بقي كتاب لذلك أنا متكاسلة,@Ahmaki_1998  ختمت كتابين ضل كتاب 😂😂😂😂  مشان هييك شوي متكاسلة 😂😂,ختمت كتابين ضل كتاب مشان هييك شوي متكاسلة
66,أنا قلت سأحترمها من أجل رأس السنة وهكذا ولكنها طلعت غلطة ماذا أفعل؟,@eman7aya95 @aya_a442 @asia_mahmoud @442_tulin @ola_442 😂💔 منا قلت بحترمها مشان النيو يير وكذا طلعت بغلة ايش اسخم😂🌚,منا قلت بحترمها مشان النيو يير وكذا طلعت بغلة ايش اسخم
73,هكذا أو هكذا الدنيا لا تتوقف لأجلك,هيك ولا هيك الدنيا ماتوقف عليك 🤘,هيك ولا هيك الدنيا ماتوقف عليك
100,سنة بدأت بالشتاء أنا هكذا سعيدة جدا,سنة بدت بالشتا، انا هيك سعيدة جداً❤,سنة بدت بالشتا انا هيك سعيدة جدا
138,الذي مثلي ينسى هكذا إنتاج,@cobaltocrimson @SarahHejazin اللي متلي بنسى هيك انتاج؟؟ 🎶🎶👌,اللي متلي بنسى هيك انتاج؟؟
138,الذي مثلي ينسى مثل هذا الإنتاج,@cobaltocrimson @SarahHejazin اللي متلي بنسى هيك انتاج؟؟ 🎶🎶👌,اللي متلي بنسى هيك انتاج؟؟
146,لا يبدو عليك أنك متزوجة وأن لديك ولد من كلامك كم عمره؟,@i_22_b مو مبين عليكي انو متزوجة وعندك ولد هيك من حكياتك 🙊 قديش عمره,مو مبين عليكي انو متزوجة وعندك ولد هيك من حكياتك قديش عمره
166,نعم هكذا أريدك تفاءلوا خيرا تجدوه الطاقة الإيجابية تتطور بالتفاؤل,@alixfusion اي هيك بدي ياك ✋  تفاءلو خيرا تجدوه🌹🌹 الطاقة الإيجابية تتطور بالتفاؤل,اي هيك بدي ياك تفاءلو خيرا تجدوه الطاقة الإيجابية تتطور بالتفاؤل
168,لا تتزوج لكي أخذك لأبنتي إلى اللقاء,@Rashed_HKJ لا تتجوز مشان اوخذك لبنتي ✋🏻باي 😂😂😂😂😂😂😂😂,لا تتجوز مشان اوخذك لبنتي باي
169,لا ليس هكذا من الأفضل لك ألا تأتي إلا بعد سنوات فهذا لمصلحتك,@Hussein9ii @AbusaleemLayan هههههه لا مش هيك 😂😂 احسنلك ما تيجي لبعد ٣ سنين كمان عشان مصلحتك 😂😂,لا مش هيك احسنلك ما تيجي لبعد ٣ سنين كمان عشان مصلحتك
190,وأنا قلت ذلك أيضا,@karmenjouni ههههههههههههه وانا قلت هيك كمان:)),وانا قلت هيك كمان
202,لا والله لكن ماذا تريدين أن تقولي؟ سنبقى كما نحن على حالنا غير معتدلين,@Syrian_7 لا والله...بس شو بدك تحكي...هيك هيك حنضل على ما نحنا ...#عوجا,لا والله بس شو بدك تحكي هيك هيك حنضل على ما نحنا عوجا
206,أنت منافق ومن علامات النفاق أنه إذا حدث كذب يا رجل أنت منافق كبير,"@waseem_yousef   أنت كذاب 😄 ومن علامة المنافق ""إذا حدث كذب""   يا زلمة أنت منافق كبير",أنت كذاب ومن علامة المنافق إذا حدث كذب يا زلمة أنت منافق كبير
208,لماذا أنتم جميعا تتصرفون كأنها المرة الأولى التي تشاهدون فيها سنة جديدة؟ والله إنه شيء عادي وليس شيء غريب,ليش هيك كلكم زي كأنكم اول مرة بتشوفو سنة جديدة  والله عادي مش شي غريب,ليش هيك كلكم زي كأنكم اول مرة بتشوفو سنة جديدة والله عادي مش شي غريب
239,ياع ليست جميلة و كذلك كلكم متفائلون أن الحياة ستصبح مثالية,يع مش حلوين و هيك كلكم متفائلين انه الحياة رح تصير بامبي 🙄,يع مش حلوين و هيك كلكم متفائلين انه الحياة رح تصير بامبي
243,اسوء من هكذا برنامج على الجديد لم ارى,ابيخ من هيك برنامج عالجديد ما شايف,ابيخ من هيك برنامج عالجديد ما شايف
243,أكثر حماقة من هكذا برنامج على الجديد لم أرى,ابيخ من هيك برنامج عالجديد ما شايف,ابيخ من هيك برنامج عالجديد ما شايف
247,حنان لماذا هكذا؟ لقد اشتقنا إليك كثيرا,@nahmed158 حنان ليش هيك وحشنا كتير #AnisYouMadeMy2015,حنان ليش هيك وحشنا كتير
247,حنان لماذا هكذا؟ لقد اشتقنا لك كثيرا,@nahmed158 حنان ليش هيك وحشنا كتير #AnisYouMadeMy2015,حنان ليش هيك وحشنا كتير
247,حنان لماذا هكذا اشتقنا لك كثيرا,@nahmed158 حنان ليش هيك وحشنا كتير #AnisYouMadeMy2015,حنان ليش هيك وحشنا كتير
277,هم يكتبونه هكذا أنيس أسعد الله سنينك مع التهنئة,@nahmed158 عم يكتبوه هيك   #أنيس_الله_يسعد_سنينك_تهنئة_2016,عم يكتبوه هيك أنيس الله يسعد سنينك تهنئة
